point_id,policy,rho,n_updates_next_use,decision_flip_rate,decision_irrelevant_rate,irrelevant_rate_mean_across_reps,irrelevant_rate_min_across_reps,superseded_before_use_share
base,agg_full,0.5,353,0.3909348441926346,0.6090651558073654,0.6194936354510678,0.5609756097560976,0.08781869688385269
base,agg_full,0.8,227,0.4581497797356828,0.5418502202643172,0.5266859084944191,0.3666666666666667,0.1013215859030837
base,agg_full,1.0,84,0.5238095238095238,0.47619047619047616,0.4665051300201467,0.23076923076923073,0.11904761904761904
base,agg_full,1.2,76,0.5263157894736842,0.4736842105263158,0.3669230769230769,0.0,0.06578947368421052
base,agg_static,0.5,317,0.4794952681388013,0.5205047318611987,0.5004234249601407,0.3728813559322034,0.07570977917981073
base,agg_static,0.8,180,0.5055555555555555,0.49444444444444446,0.49251471965743343,0.41509433962264153,0.1111111111111111
base,agg_static,1.0,108,0.5555555555555556,0.4444444444444444,0.3960648148148148,0.2592592592592593,0.06481481481481481
base,agg_static,1.2,99,0.5555555555555556,0.4444444444444444,0.43698343136124246,0.33333333333333337,0.08080808080808081
base,exact_fifo,0.5,326,0.44785276073619634,0.5521472392638036,0.5073334041094122,0.24,0.10429447852760736
base,exact_fifo,0.8,221,0.46153846153846156,0.5384615384615384,0.4505947543841053,0.16666666666666663,0.10407239819004525
base,exact_fifo,1.0,63,0.6031746031746031,0.39682539682539686,0.37454545454545457,0.0,0.06349206349206349
base,exact_fifo,1.2,88,0.5909090909090909,0.40909090909090906,0.3986268420411643,0.23529411764705888,0.10227272727272728
