budget_fraction,selection_policy,value_retention,oracle_retention,oracle_gap,n_cells,candidate_updates_total
0.1,B02Utility,0.06331996728769546,0.2662198089691827,0.20289984168148723,34,1439
0.1,CoverageAdvantage,0.05358420513276371,0.2662198089691827,0.21263560383641897,34,1439
0.1,CoverageDelta,0.04942352249923034,0.2662198089691827,0.21679628646995233,34,1439
0.1,DecisionAware,0.04958460642979785,0.2662198089691827,0.21663520253938484,34,1439
0.1,FirstLook,0.05542276458579136,0.2662198089691827,0.2107970443833913,34,1439
0.1,Freshness,0.11740399958322265,0.2662198089691827,0.14881580938596004,34,1439
0.1,LearnedLogistic,0.04856058774278122,0.2662198089691827,0.21765922122640147,34,1439
0.1,Oracle,0.2662198089691827,0.2662198089691827,0.0,34,1439
0.1,Random,0.1006840540484144,0.2662198089691827,0.16553575492076827,34,1439
0.1,SimpleCoverageLoad,0.05561140726811849,0.2662198089691827,0.2106084017010642,34,1439
0.2,B02Utility,0.1457507702390514,0.5047849009125162,0.3590341306734648,34,1439
0.2,CoverageAdvantage,0.14605501585469235,0.5047849009125162,0.35872988505782377,34,1439
0.2,CoverageDelta,0.14476529430321383,0.5047849009125162,0.3600196066093023,34,1439
0.2,DecisionAware,0.13692513064296555,0.5047849009125162,0.36785977026955063,34,1439
0.2,FirstLook,0.15059547409571022,0.5047849009125162,0.35418942681680593,34,1439
0.2,Freshness,0.23338725841574665,0.5047849009125162,0.2713976424967695,34,1439
0.2,LearnedLogistic,0.095316598303801,0.5047849009125162,0.40946830260871514,34,1439
0.2,Oracle,0.5047849009125162,0.5047849009125162,0.0,34,1439
0.2,Random,0.19798720378430593,0.5047849009125162,0.30679769712821026,34,1439
0.2,SimpleCoverageLoad,0.1481564937086625,0.5047849009125162,0.3566284072038537,34,1439
0.3,B02Utility,0.2605686275131016,0.7247269647824248,0.4641583372693232,34,1439
0.3,CoverageAdvantage,0.2690778268044928,0.7247269647824248,0.455649137977932,34,1439
0.3,CoverageDelta,0.2805467279646442,0.7247269647824248,0.4441802368177806,34,1439
0.3,DecisionAware,0.25789011495628733,0.7247269647824248,0.4668368498261375,34,1439
0.3,FirstLook,0.29090609450495303,0.7247269647824248,0.4338208702774718,34,1439
0.3,Freshness,0.36435926773738353,0.7247269647824248,0.3603676970450413,34,1439
0.3,LearnedLogistic,0.20636711643643962,0.7247269647824248,0.5183598483459853,34,1439
0.3,Oracle,0.7247269647824248,0.7247269647824248,0.0,34,1439
0.3,Random,0.29828805302267314,0.7247269647824248,0.4264389117597517,34,1439
0.3,SimpleCoverageLoad,0.2724778151313721,0.7247269647824248,0.45224914965105273,34,1439
0.4,B02Utility,0.36034228224413345,0.855033447409989,0.49469116516585554,34,1439
0.4,CoverageAdvantage,0.38496078191754873,0.855033447409989,0.47007266549244026,34,1439
0.4,CoverageDelta,0.40810784577114956,0.855033447409989,0.44692560163883943,34,1439
0.4,DecisionAware,0.3766574767039198,0.855033447409989,0.4783759707060692,34,1439
0.4,FirstLook,0.40868543613573327,0.855033447409989,0.4463480112742557,34,1439
0.4,Freshness,0.4806404969649438,0.855033447409989,0.37439295044504517,34,1439
0.4,LearnedLogistic,0.3059332263539628,0.855033447409989,0.5491002210560262,34,1439
0.4,Oracle,0.855033447409989,0.855033447409989,0.0,34,1439
0.4,Random,0.3955047378168502,0.855033447409989,0.4595287095931388,34,1439
0.4,SimpleCoverageLoad,0.392655338674906,0.855033447409989,0.462378108735083,34,1439
0.5,B02Utility,0.47606555304472276,0.9389229564655053,0.4628574034207825,34,1439
0.5,CoverageAdvantage,0.5294644752986906,0.9389229564655053,0.4094584811668147,34,1439
0.5,CoverageDelta,0.5523116844163276,0.9389229564655053,0.38661127204917767,34,1439
0.5,DecisionAware,0.5217407559500173,0.9389229564655053,0.41718220051548793,34,1439
0.5,FirstLook,0.5569797749390879,0.9389229564655053,0.3819431815264174,34,1439
0.5,Freshness,0.620920858742761,0.9389229564655053,0.31800209772274424,34,1439
0.5,LearnedLogistic,0.4504983906460026,0.9389229564655053,0.48842456581950267,34,1439
0.5,Oracle,0.9389229564655053,0.9389229564655053,0.0,34,1439
0.5,Random,0.5014478412167197,0.9389229564655053,0.4374751152487856,34,1439
0.5,SimpleCoverageLoad,0.5301042088814362,0.9389229564655053,0.4088187475840691,34,1439
0.6,B02Utility,0.6152462001262454,0.9915850822638972,0.37633888213765176,34,1439
0.6,CoverageAdvantage,0.6650502739935654,0.9915850822638972,0.32653480827033177,34,1439
0.6,CoverageDelta,0.695505043941576,0.9915850822638972,0.2960800383223212,34,1439
0.6,DecisionAware,0.66115000604862,0.9915850822638972,0.33043507621527723,34,1439
0.6,FirstLook,0.6777637237996501,0.9915850822638972,0.3138213584642471,34,1439
