tag,point_id,cell_id,cell_tag,rep,policy,rho,value_definition,candidate_updates,selected_updates,selection_policy,budget_fraction,value_retention,seeds
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,CoverageAdvantage,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,SimpleCoverageLoad,0.1,0.13298743855816494,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,SimpleCoverageLoad,0.2,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,SimpleCoverageLoad,0.3,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,SimpleCoverageLoad,0.4,0.5456034953577281,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,SimpleCoverageLoad,0.5,0.6854178044784272,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,SimpleCoverageLoad,0.6,0.818405243036592,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,SimpleCoverageLoad,0.8,0.9650464227198254,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,SimpleCoverageLoad,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,FirstLook,0.1,0.13298743855816494,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,FirstLook,0.2,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,FirstLook,0.3,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,FirstLook,0.4,0.5456034953577281,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,FirstLook,0.5,0.6854178044784272,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,FirstLook,0.6,0.8533588203167669,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,FirstLook,0.8,0.9650464227198254,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,FirstLook,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,DecisionAware,0.1,0.13298743855816494,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,DecisionAware,0.2,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,DecisionAware,0.3,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,DecisionAware,0.4,0.5456034953577281,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,DecisionAware,0.5,0.6854178044784272,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,DecisionAware,0.6,0.818405243036592,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,DecisionAware,0.8,0.9650464227198254,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,DecisionAware,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,B02Utility,0.1,0.03495357728017477,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,B02Utility,0.2,0.07673402512288367,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,B02Utility,0.3,0.14664117968323323,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,B02Utility,0.4,0.181594756963408,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,B02Utility,0.5,0.3145821955215729,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,B02Utility,0.6,0.5942108137629711,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,B02Utility,0.8,0.727198252321136,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,B02Utility,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,LearnedLogistic,0.1,0.06990715456034954,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,LearnedLogistic,0.2,0.24467504096122342,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,LearnedLogistic,0.3,0.3844893500819225,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,LearnedLogistic,0.4,0.5243036592026216,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,LearnedLogistic,0.5,0.6572910977607865,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,LearnedLogistic,0.6,0.6572910977607865,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,LearnedLogistic,0.8,0.9650464227198254,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,LearnedLogistic,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,Oracle,0.1,0.2796286182413982,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,Oracle,0.2,0.5524303659202622,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,Oracle,0.3,0.818405243036592,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,Oracle,0.4,0.8951392681594758,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,Oracle,0.5,0.9650464227198254,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,Oracle,0.6,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,Oracle,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,Oracle,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,Random,0.1,0.06305286800276434,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,Random,0.2,0.16483241188666206,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,Random,0.3,0.25930373185901867,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,Random,0.4,0.3641845196959226,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,Random,0.5,0.4719246717346233,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,Random,0.6,0.5803386316516931,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,Random,0.8,0.8135107118175535,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,Random,1.0,1.0,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,Freshness,0.1,0.1725984796129924,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,Freshness,0.2,0.3495162404975812,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,Freshness,0.3,0.4336558396682792,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,Freshness,0.4,0.6903939184519696,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,Freshness,0.5,0.8009675190048375,1
