point_id,policy,rho,n_updates_next_use,decision_flip_rate,decision_irrelevant_rate,irrelevant_rate_mean_across_reps,irrelevant_rate_min_across_reps,superseded_before_use_share
alphahigh,agg_full,0.8,34,0.6470588235294118,0.3529411764705882,0.3472222222222222,0.25,0.08823529411764706
alphahigh,agg_static,0.8,42,0.3333333333333333,0.6666666666666667,0.6590389016018307,0.5789473684210527,0.2857142857142857
alphalow,agg_full,0.8,19,0.6842105263157895,0.3157894736842105,0.16666666666666669,0.0,0.0
alphalow,agg_static,0.8,1,1.0,0.0,0.0,0.0,0.0
alphamed,agg_full,0.8,39,0.5384615384615384,0.46153846153846156,0.45,0.4,0.1282051282051282
alphamed,agg_static,0.8,18,0.7222222222222222,0.2777777777777778,0.2916666666666667,0.25,0.0
base,agg_full,0.5,34,0.6470588235294118,0.3529411764705882,0.3576388888888889,0.2777777777777778,0.058823529411764705
base,agg_full,0.8,29,0.41379310344827586,0.5862068965517242,0.5862068965517242,0.5862068965517242,0.20689655172413793
base,agg_full,1.0,1,1.0,0.0,0.0,0.0,0.0
base,agg_static,0.5,80,0.3625,0.6375,0.6237911025145068,0.5454545454545454,0.1
base,agg_static,0.8,17,0.35294117647058826,0.6470588235294117,0.6547619047619048,0.6428571428571428,0.17647058823529413
base,agg_static,1.0,7,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0
base,agg_static,1.2,7,0.5714285714285714,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.14285714285714285
base,exact_fifo,0.5,88,0.3522727272727273,0.6477272727272727,0.6416666666666666,0.575,0.14772727272727273
base,exact_fifo,0.8,16,0.5625,0.4375,0.39743589743589747,0.33333333333333337,0.0625
base,exact_fifo,1.0,14,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.2857142857142857
base,exact_fifo,1.2,17,0.47058823529411764,0.5294117647058824,0.4928571428571428,0.2857142857142857,0.11764705882352941
conc2,agg_full,0.8,19,0.21052631578947367,0.7894736842105263,0.6041666666666667,0.33333333333333337,0.3157894736842105
conc2,agg_static,0.8,32,0.4375,0.5625,0.45893719806763283,0.2222222222222222,0.1875
conc4,agg_full,0.8,24,0.5,0.5,0.3157894736842105,0.0,0.16666666666666666
conc4,agg_static,0.8,26,0.5,0.5,0.5,0.46153846153846156,0.15384615384615385
conc8,agg_full,0.8,37,0.4864864864864865,0.5135135135135135,0.468944099378882,0.2857142857142857,0.16216216216216217
conc8,agg_static,0.8,28,0.5714285714285714,0.4285714285714286,0.4205128205128205,0.3076923076923077,0.03571428571428571
ov0,agg_full,0.8,28,0.5714285714285714,0.4285714285714286,0.42857142857142855,0.3571428571428571,0.03571428571428571
ov0,agg_static,0.8,32,0.40625,0.59375,0.6083333333333334,0.55,0.1875
ov25,agg_full,0.8,56,0.375,0.625,0.6251596424010217,0.6206896551724138,0.19642857142857142
ov25,agg_static,0.8,58,0.41379310344827586,0.5862068965517242,0.5927272727272728,0.5454545454545454,0.15517241379310345
ov50,agg_full,0.8,72,0.3333333333333333,0.6666666666666667,0.6640926640926641,0.5714285714285714,0.18055555555555555
ov50,agg_static,0.8,91,0.37362637362637363,0.6263736263736264,0.634558093346574,0.5849056603773585,0.14285714285714285
ov75,agg_full,0.8,104,0.3557692307692308,0.6442307692307692,0.6428571428571428,0.625,0.14423076923076922
ov75,agg_static,0.8,82,0.43902439024390244,0.5609756097560976,0.562200956937799,0.5454545454545454,0.04878048780487805
