tag,point_id,cell_id,cell_tag,rep,policy,rho,value_definition,candidate_updates,selected_updates,selection_policy,budget_fraction,value_retention,seeds
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,1,Random,0.1,0.029091438555620262,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,3,Random,0.2,0.20372743156668605,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,4,Random,0.3,0.27163657542224806,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,6,Random,0.4,0.3574548631333721,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,7,Random,0.5,0.45745486313337214,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,8,Random,0.6,0.5432731508444961,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,11,Random,0.8,0.75,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,14,Random,1.0,1.0,20
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,1,Freshness,0.1,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,3,Freshness,0.2,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,4,Freshness,0.3,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,6,Freshness,0.4,0.2836342457775189,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,7,Freshness,0.5,0.5672684915550378,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,8,Freshness,0.6,0.8509027373325566,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,11,Freshness,0.8,1.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,14,Freshness,1.0,1.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,1,CoverageDelta,0.1,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,3,CoverageDelta,0.2,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,4,CoverageDelta,0.3,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,6,CoverageDelta,0.4,0.2836342457775189,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,7,CoverageDelta,0.5,0.5672684915550378,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,8,CoverageDelta,0.6,0.8509027373325566,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,11,CoverageDelta,0.8,0.9254513686662783,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,14,CoverageDelta,1.0,1.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,1,CoverageAdvantage,0.1,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,3,CoverageAdvantage,0.2,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,4,CoverageAdvantage,0.3,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,6,CoverageAdvantage,0.4,0.2836342457775189,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,7,CoverageAdvantage,0.5,0.5672684915550378,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,8,CoverageAdvantage,0.6,0.8509027373325566,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,11,CoverageAdvantage,0.8,0.8509027373325566,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,14,CoverageAdvantage,1.0,1.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,1,SimpleCoverageLoad,0.1,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,3,SimpleCoverageLoad,0.2,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,4,SimpleCoverageLoad,0.3,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,6,SimpleCoverageLoad,0.4,0.2836342457775189,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,7,SimpleCoverageLoad,0.5,0.5672684915550378,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,8,SimpleCoverageLoad,0.6,0.8509027373325566,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,11,SimpleCoverageLoad,0.8,0.8509027373325566,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,14,SimpleCoverageLoad,1.0,1.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,1,DecisionAware,0.1,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,3,DecisionAware,0.2,0.0,1
b03core,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03core,0,exact_fifo,1.0,next_use,14,4,DecisionAware,0.3,0.0,1
