selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
B02Utility,0.1,0.04948666105072063,0.03203718077691266,0.06802118243376491,44,1008,0.04948666105072063,next_use
B02Utility,0.2,0.10830917418492152,0.0777034502447169,0.14046762498381232,44,1008,0.10830917418492152,next_use
B02Utility,0.3,0.16337090778410177,0.12785009599756192,0.2011252051310302,44,1008,0.16337090778410177,next_use
B02Utility,0.4,0.25869905830252377,0.2125376116292484,0.3079668521074097,44,1008,0.25869905830252377,next_use
B02Utility,0.5,0.3479228340903703,0.289850016125149,0.40832451873779885,44,1008,0.3479228340903703,next_use
B02Utility,0.6,0.46225648429030236,0.41053558857069417,0.5160956891106816,44,1008,0.46225648429030236,next_use
B02Utility,0.8,0.7467667185381044,0.7040772219976512,0.7882122229569957,44,1008,0.7467667185381044,next_use
B02Utility,1.0,1.0,1.0,1.0,44,1008,1.0,next_use
CoverageAdvantage,0.1,0.06451653495013192,0.03747781978759306,0.10022802676575804,44,1008,0.06451653495013192,next_use
CoverageAdvantage,0.2,0.118454735712829,0.08461465063124175,0.1581168880336479,44,1008,0.118454735712829,next_use
CoverageAdvantage,0.3,0.17561300091992457,0.13487981348588485,0.2221455263904352,44,1008,0.17561300091992457,next_use
CoverageAdvantage,0.4,0.26479006582990844,0.21715988319831178,0.3142917835057127,44,1008,0.26479006582990844,next_use
CoverageAdvantage,0.5,0.35168965285131115,0.2947123129576577,0.40705224674196655,44,1008,0.35168965285131115,next_use
CoverageAdvantage,0.6,0.4773935393298684,0.40876681206134613,0.5433244517608593,44,1008,0.4773935393298684,next_use
CoverageAdvantage,0.8,0.7800852568661334,0.7229010426639647,0.8315839132146879,44,1008,0.7800852568661334,next_use
CoverageAdvantage,1.0,1.0,1.0,1.0,44,1008,1.0,next_use
CoverageDelta,0.1,0.06420329973397175,0.038974813742564604,0.09680441560225536,44,1008,0.06420329973397175,next_use
CoverageDelta,0.2,0.1227018018921977,0.08741788050562929,0.16441265623351065,44,1008,0.1227018018921977,next_use
CoverageDelta,0.3,0.16624963777690935,0.12612478266717259,0.20910870529766015,44,1008,0.16624963777690935,next_use
CoverageDelta,0.4,0.25602834010230224,0.20933794966927718,0.30331508220165404,44,1008,0.25602834010230224,next_use
CoverageDelta,0.5,0.36276592537238467,0.3005815682239496,0.4217051381590202,44,1008,0.36276592537238467,next_use
CoverageDelta,0.6,0.5106299715580618,0.4455339714737388,0.5755139397362607,44,1008,0.5106299715580618,next_use
CoverageDelta,0.8,0.8301612942072336,0.7740425295001138,0.8736259388472848,44,1008,0.8301612942072336,next_use
CoverageDelta,1.0,1.0,1.0,1.0,44,1008,1.0,next_use
DecisionAware,0.1,0.11489125545213642,0.06473800242283513,0.17279159649542944,44,1008,0.11489125545213642,next_use
DecisionAware,0.2,0.2191552220345389,0.14992397564285886,0.29646307098360813,44,1008,0.2191552220345389,next_use
DecisionAware,0.3,0.2990114403448168,0.22242746611696845,0.3839098098029702,44,1008,0.2990114403448168,next_use
DecisionAware,0.4,0.3895902752668099,0.31813896241628103,0.463546645027793,44,1008,0.3895902752668099,next_use
DecisionAware,0.5,0.4763934878967761,0.4091872429280271,0.5421845700715807,44,1008,0.4763934878967761,next_use
DecisionAware,0.6,0.5916502890041991,0.5324695827865339,0.6492396323012556,44,1008,0.5916502890041991,next_use
DecisionAware,0.8,0.7932932477315362,0.7416749769537433,0.8382877964601689,44,1008,0.7932932477315362,next_use
DecisionAware,1.0,1.0,1.0,1.0,44,1008,1.0,next_use
Freshness,0.1,0.03130947433502911,0.014335230705206495,0.05117345310576754,44,1008,0.03130947433502911,next_use
Freshness,0.2,0.09608800222776795,0.0644565814481233,0.13025481833525113,44,1008,0.09608800222776795,next_use
Freshness,0.3,0.19364664463058806,0.15050221383234672,0.23755944955305464,44,1008,0.19364664463058806,next_use
Freshness,0.4,0.32650412106721766,0.26851119418638625,0.38884911369264985,44,1008,0.32650412106721766,next_use
Freshness,0.5,0.4323186781174862,0.35841500414829414,0.5067524642807806,44,1008,0.4323186781174862,next_use
Freshness,0.6,0.5641306382636265,0.49065285824415555,0.6376716627280881,44,1008,0.5641306382636265,next_use
Freshness,0.8,0.835272754680613,0.7835666699519649,0.875849908462297,44,1008,0.835272754680613,next_use
Freshness,1.0,1.0,1.0,1.0,44,1008,1.0,next_use
Oracle,0.1,0.42337678062268624,0.3509288535570489,0.4956132466546361,44,1008,0.42337678062268624,next_use
Oracle,0.2,0.6606142783022874,0.5905449757691243,0.725312612986653,44,1008,0.6606142783022874,next_use
Oracle,0.3,0.8086927779461892,0.7576805127299779,0.8572836998085172,44,1008,0.8086927779461892,next_use
Oracle,0.4,0.9056105701273724,0.8697641299741624,0.9382356606266218,44,1008,0.9056105701273724,next_use
Oracle,0.5,0.9561023356436356,0.9284427708410924,0.978036963480496,44,1008,0.9561023356436356,next_use
