budget_fraction,selection_policy,value_retention,oracle_retention,oracle_gap,n_cells,candidate_updates_total
0.1,B02Utility,0.04948666105072063,0.42337678062268624,0.3738901195719656,44,1008
0.1,CoverageAdvantage,0.06451653495013192,0.42337678062268624,0.3588602456725543,44,1008
0.1,CoverageDelta,0.06420329973397175,0.42337678062268624,0.3591734808887145,44,1008
0.1,DecisionAware,0.11489125545213642,0.42337678062268624,0.30848552517054983,44,1008
0.1,Freshness,0.03130947433502911,0.42337678062268624,0.3920673062876571,44,1008
0.1,Oracle,0.42337678062268624,0.42337678062268624,0.0,44,1008
0.1,Random,0.11406789300153052,0.42337678062268624,0.3093088876211557,44,1008
0.1,SimpleCoverageLoad,0.06451653495013192,0.42337678062268624,0.3588602456725543,44,1008
0.2,B02Utility,0.10830917418492152,0.6606142783022874,0.5523051041173659,44,1008
0.2,CoverageAdvantage,0.118454735712829,0.6606142783022874,0.5421595425894583,44,1008
0.2,CoverageDelta,0.1227018018921977,0.6606142783022874,0.5379124764100897,44,1008
0.2,DecisionAware,0.2191552220345389,0.6606142783022874,0.44145905626774845,44,1008
0.2,Freshness,0.09608800222776795,0.6606142783022874,0.5645262760745194,44,1008
0.2,Oracle,0.6606142783022874,0.6606142783022874,0.0,44,1008
0.2,Random,0.22009055553430937,0.6606142783022874,0.440523722767978,44,1008
0.2,SimpleCoverageLoad,0.11710229921394898,0.6606142783022874,0.5435119790883384,44,1008
0.3,B02Utility,0.16337090778410177,0.8086927779461892,0.6453218701620874,44,1008
0.3,CoverageAdvantage,0.17561300091992457,0.8086927779461892,0.6330797770262646,44,1008
0.3,CoverageDelta,0.16624963777690935,0.8086927779461892,0.6424431401692798,44,1008
0.3,DecisionAware,0.2990114403448168,0.8086927779461892,0.5096813376013725,44,1008
0.3,Freshness,0.19364664463058806,0.8086927779461892,0.6150461333156012,44,1008
0.3,Oracle,0.8086927779461892,0.8086927779461892,0.0,44,1008
0.3,Random,0.32127226993377384,0.8086927779461892,0.4874205080124154,44,1008
0.3,SimpleCoverageLoad,0.17426056442104457,0.8086927779461892,0.6344322135251447,44,1008
0.4,B02Utility,0.25869905830252377,0.9056105701273724,0.6469115118248487,44,1008
0.4,CoverageAdvantage,0.26479006582990844,0.9056105701273724,0.640820504297464,44,1008
0.4,CoverageDelta,0.25602834010230224,0.9056105701273724,0.6495822300250702,44,1008
0.4,DecisionAware,0.3895902752668099,0.9056105701273724,0.5160202948605626,44,1008
0.4,Freshness,0.32650412106721766,0.9056105701273724,0.5791064490601547,44,1008
0.4,Oracle,0.9056105701273724,0.9056105701273724,0.0,44,1008
0.4,Random,0.41444366664706955,0.9056105701273724,0.4911669034803029,44,1008
0.4,SimpleCoverageLoad,0.2631635438941927,0.9056105701273724,0.6424470262331797,44,1008
0.5,B02Utility,0.3479228340903703,0.9561023356436356,0.6081795015532653,44,1008
0.5,CoverageAdvantage,0.35168965285131115,0.9561023356436356,0.6044126827923244,44,1008
0.5,CoverageDelta,0.36276592537238467,0.9561023356436356,0.5933364102712508,44,1008
0.5,DecisionAware,0.4763934878967761,0.9561023356436356,0.47970884774685946,44,1008
0.5,Freshness,0.4323186781174862,0.9561023356436356,0.5237836575261494,44,1008
0.5,Oracle,0.9561023356436356,0.9561023356436356,0.0,44,1008
0.5,Random,0.5109747862933376,0.9561023356436356,0.44512754935029797,44,1008
0.5,SimpleCoverageLoad,0.35792782268174617,0.9561023356436356,0.5981745129618894,44,1008
0.6,B02Utility,0.46225648429030236,0.9813886570332147,0.5191321727429123,44,1008
0.6,CoverageAdvantage,0.4773935393298684,0.9813886570332147,0.5039951177033463,44,1008
0.6,CoverageDelta,0.5106299715580618,0.9813886570332147,0.47075868547515287,44,1008
0.6,DecisionAware,0.5916502890041991,0.9813886570332147,0.3897383680290155,44,1008
0.6,Freshness,0.5641306382636265,0.9813886570332147,0.4172580187695881,44,1008
0.6,Oracle,0.9813886570332147,0.9813886570332147,0.0,44,1008
0.6,Random,0.6048051466153403,0.9813886570332147,0.3765835104178743,44,1008
0.6,SimpleCoverageLoad,0.47574952214080923,0.9813886570332147,0.5056391348924054,44,1008
0.8,B02Utility,0.7467667185381044,0.9986153779585478,0.25184865942044343,44,1008
0.8,CoverageAdvantage,0.7800852568661334,0.9986153779585478,0.21853012109241443,44,1008
0.8,CoverageDelta,0.8301612942072336,0.9986153779585478,0.1684540837513142,44,1008
0.8,DecisionAware,0.7932932477315362,0.9986153779585478,0.20532213022701162,44,1008
0.8,Freshness,0.835272754680613,0.9986153779585478,0.1633426232779348,44,1008
0.8,Oracle,0.9986153779585478,0.9986153779585478,0.0,44,1008
0.8,Random,0.7958538784938186,0.9986153779585478,0.2027614994647292,44,1008
0.8,SimpleCoverageLoad,0.7854645431405534,0.9986153779585478,0.21315083481799446,44,1008
1.0,B02Utility,1.0,1.0,0.0,44,1008
1.0,CoverageAdvantage,1.0,1.0,0.0,44,1008
1.0,CoverageDelta,1.0,1.0,0.0,44,1008
1.0,DecisionAware,1.0,1.0,0.0,44,1008
1.0,Freshness,1.0,1.0,0.0,44,1008
1.0,Oracle,1.0,1.0,0.0,44,1008
1.0,Random,1.0,1.0,0.0,44,1008
1.0,SimpleCoverageLoad,1.0,1.0,0.0,44,1008
