point_id,policy,rho,label,feature_set,n_updates,prevalence,auroc_loro_mean,auprc_loro_mean,folds,scope
base,exact_fifo,1.2,positive_value,coverage_only,17,0.5882352941176471,nan,nan,0,
base,exact_fifo,1.2,positive_value,fresh_cov,17,0.5882352941176471,nan,nan,0,
base,exact_fifo,1.2,positive_value,decision_aware,17,0.5882352941176471,nan,nan,0,
base,exact_fifo,1.2,high_value_top25pct,freshness_only,17,0.29411764705882354,nan,nan,0,
base,exact_fifo,1.2,high_value_top25pct,coverage_only,17,0.29411764705882354,nan,nan,0,
base,exact_fifo,1.2,high_value_top25pct,fresh_cov,17,0.29411764705882354,nan,nan,0,
base,exact_fifo,1.2,high_value_top25pct,decision_aware,17,0.29411764705882354,nan,nan,0,
,,,flip_next_use,freshness_only,310,0.4129032258064516,0.5047676282051282,0.39464487057672193,2,pooled
,,,flip_next_use,coverage_only,310,0.4129032258064516,0.694397702991453,0.5973544007725757,2,pooled
,,,flip_next_use,fresh_cov,310,0.4129032258064516,0.7005408653846154,0.6019774257567484,2,pooled
,,,flip_next_use,decision_aware,310,0.4129032258064516,0.7095753205128206,0.5752350208516781,2,pooled
,,,positive_value,freshness_only,310,0.5387096774193548,0.44129836243224807,0.5235443169350376,2,pooled
,,,positive_value,coverage_only,310,0.5387096774193548,0.6382902423550898,0.6645095803581013,2,pooled
,,,positive_value,fresh_cov,310,0.5387096774193548,0.6165152702762127,0.6358204149532152,2,pooled
,,,positive_value,decision_aware,310,0.5387096774193548,0.6173539165305648,0.6452555882152837,2,pooled
,,,high_value_top25pct,freshness_only,310,0.25161290322580643,0.4435750392931481,0.25296863132604636,2,pooled
,,,high_value_top25pct,coverage_only,310,0.25161290322580643,0.5817920507483397,0.3051408255337464,2,pooled
,,,high_value_top25pct,fresh_cov,310,0.25161290322580643,0.5288946235645611,0.28643900647549125,2,pooled
,,,high_value_top25pct,decision_aware,310,0.25161290322580643,0.7743851153306995,0.5079949541718313,2,pooled
