policy,rho,forwarded_updates,A_no_future_use,A_no_future_use_share,B_no_decision_flip,B_no_decision_flip_share,C_low_value_flip,C_low_value_flip_share,D_meaningful_value_flip,D_meaningful_value_flip_share,E_negative_value_flip,E_negative_value_flip_share
agg_full,0.5,819,466,0.568986568986569,215,0.2625152625152625,6,0.007326007326007326,127,0.15506715506715507,5,0.006105006105006105
agg_full,0.8,673,446,0.662704309063893,123,0.1827637444279346,9,0.01337295690936107,93,0.13818722139673106,2,0.0029717682020802376
agg_full,1.0,301,217,0.7209302325581395,40,0.132890365448505,3,0.009966777408637873,41,0.1362126245847176,0,0.0
agg_full,1.2,331,255,0.770392749244713,36,0.10876132930513595,5,0.015105740181268883,35,0.10574018126888217,0,0.0
agg_static,0.5,893,576,0.64501679731243,165,0.18477043673012317,11,0.012318029115341545,139,0.15565509518477044,2,0.0022396416573348264
agg_static,0.8,592,412,0.6959459459459459,89,0.15033783783783783,5,0.008445945945945946,85,0.14358108108108109,1,0.0016891891891891893
agg_static,1.0,502,394,0.7848605577689243,48,0.09561752988047809,2,0.00398406374501992,57,0.11354581673306773,1,0.00199203187250996
agg_static,1.2,458,359,0.7838427947598253,44,0.09606986899563319,3,0.006550218340611353,52,0.11353711790393013,0,0.0
exact_fifo,0.5,960,634,0.6604166666666667,180,0.1875,16,0.016666666666666666,125,0.13020833333333334,5,0.005208333333333333
exact_fifo,0.8,794,573,0.7216624685138538,119,0.14987405541561713,5,0.006297229219143577,97,0.12216624685138538,0,0.0
exact_fifo,1.0,544,481,0.8841911764705882,25,0.04595588235294118,2,0.003676470588235294,36,0.0661764705882353,0,0.0
exact_fifo,1.2,427,339,0.7939110070257611,36,0.08430913348946135,0,0.0,52,0.12177985948477751,0,0.0
