rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@rho1.0,exact_fifo,1.0,0.43023057216054655,143.68487605208338,180.232886,0.0
0,agg_full@rho1.2,agg_full,1.2,0.5236549957301452,82.62204755208336,-113.4339,0.0
0,exact_fifo@rho0.8,exact_fifo,0.8,0.4637062339880444,163.52825443749998,201.29010200000016,0.0
0,exact_fifo@rho1.2,exact_fifo,1.2,0.5187019641332195,189.19267883333328,175.0380650000002,0.0
0,agg_full@rho1.0,agg_full,1.0,0.5125533731853117,127.63358354166678,91.50043300000016,0.0
0,agg_static@rho1.2,agg_static,1.2,0.5236549957301452,133.16598035416666,85.06554000000006,0.0
0,agg_static@rho0.8,agg_static,0.8,0.3919726729291204,218.76063211458336,198.66279700000018,0.0
0,agg_static@rho1.0,agg_static,1.0,0.5236549957301452,165.6689967604168,33.28835500000014,0.0
0,agg_full@rho0.5,agg_full,0.5,0.5567890691716482,291.6848253645833,302.02393000000006,0.0
0,agg_static@rho0.5,agg_static,0.5,0.9670367207514945,191.1663133645834,313.85201800000004,0.0
0,exact_fifo@rho0.5,exact_fifo,0.5,0.9670367207514945,228.9566139166668,406.06913099999997,0.0
0,agg_full@rho0.8,agg_full,0.8,0.6992314261315116,301.97599544791683,301.4342140000001,0.0
1,exact_fifo@rho1.2,exact_fifo,1.2,0.5485571993555002,-98.67202779166655,-929.1372309999999,0.0
1,agg_static@rho0.5,agg_static,0.5,0.8072359748059177,-161.7144245833333,-859.761526,0.0
1,exact_fifo@rho0.5,exact_fifo,0.5,0.8873590156730629,-10.188380624999809,-587.7754,0.0
1,agg_static@rho0.8,agg_static,0.8,0.5437234510033689,81.36680088541675,440.08915400000024,0.0
1,agg_static@rho1.0,agg_static,1.0,0.46316097846784826,22.706676072916707,-615.167598,0.0
1,exact_fifo@rho0.8,exact_fifo,0.8,0.37835066647136373,116.89916812500019,-379.80877499999997,0.0
1,agg_full@rho1.2,agg_full,1.2,0.4212684927493775,57.36143989583343,-368.11069399999997,0.0
1,agg_full@rho0.8,agg_full,0.8,0.4212684927493775,54.671232322916694,-357.9964259999997,0.0
1,agg_full@rho1.0,agg_full,1.0,0.4212684927493775,81.55526458333338,-345.89958799999977,0.0
1,agg_full@rho0.5,agg_full,0.5,0.6893218104584737,-3.5885820520832112,-581.8351789999997,0.0
1,agg_static@rho1.2,agg_static,1.2,0.47312142961769443,147.0272688437501,-252.06281799999988,0.0
1,exact_fifo@rho1.0,exact_fifo,1.0,0.4212684927493775,114.93027545833343,-415.6644489999999,0.0
