rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,agg_static@rho0.8,agg_static,0.8,0.4833266372036963,405.35207033333336,240.90633200000002,0.0
0,agg_full@rho0.8,agg_full,0.8,0.42426677380474087,400.8097245520835,489.85208799999964,0.0
0,agg_full@rho0.8,agg_full,0.8,0.510646846122941,414.82199258333344,532.9695419999998,0.0
0,agg_static@rho0.8,agg_static,0.8,0.498459890183474,443.64897507291676,403.8489669999999,0.0
0,agg_static@rho0.8,agg_static,0.8,0.7041649926342574,291.20609160416666,276.28585499999963,0.0
0,agg_full@rho0.8,agg_full,0.8,0.5620731217356368,468.9419837291666,580.675178,0.0
0,agg_full@rho0.8,agg_full,0.8,0.6575599303602517,468.0218726041667,723.9647489999998,0.010416666666666666
0,agg_static@rho0.8,agg_static,0.8,0.6477835810901299,530.1728101875001,1000.1542209999998,0.0
1,agg_full@rho0.8,agg_full,0.8,0.46863653436834857,230.74258947916678,219.47525399999995,0.0
1,agg_static@rho0.8,agg_static,0.8,0.42443971453612117,213.4343388125003,420.94991900000014,0.0
1,agg_full@rho0.8,agg_full,0.8,0.6024790284211844,166.0643549583333,602.5377649999996,0.0
1,agg_static@rho0.8,agg_static,0.8,0.6102416426693377,213.77113438541664,476.7996449999996,0.0
1,agg_full@rho0.8,agg_full,0.8,0.582321272067109,120.95957561458363,-9.436897999999928,0.0
1,agg_static@rho0.8,agg_static,0.8,0.6024790284211844,162.8654550416668,197.94470199999978,0.0
1,agg_full@rho0.8,agg_full,0.8,0.7060222862150995,118.52053443749992,-83.55642000000034,0.0
1,agg_static@rho0.8,agg_static,0.8,0.6660823838737949,251.06124477083358,393.2345839999998,0.0
